time;lat;lon;elevation;accuracy;bearing;speed
2015-08-28T16:07:03Z;50.494192;30.376863;188.000000;3.000000;301.399994;17.000000
2015-08-28T16:07:14Z;50.495139;30.374491;184.000000;3.000000;301.100006;18.469999
2015-08-28T16:07:25Z;50.496101;30.372028;186.000000;3.000000;301.100006;18.879999
2015-08-28T16:07:36Z;50.497058;30.369430;186.000000;3.000000;299.799988;19.290001
2015-08-28T16:07:47Z;50.497985;30.366937;188.000000;9.000000;299.399994;17.850000
2015-08-28T16:07:58Z;50.498847;30.365393;187.000000;9.000000;332.100006;10.590000
2015-08-28T16:08:09Z;50.500219;30.365136;185.000000;3.000000;354.399994;14.780000
2015-08-28T16:08:20Z;50.502021;30.364769;183.000000;4.000000;356.600006;21.230000
2015-08-28T16:08:31Z;50.504056;30.364347;182.000000;4.000000;352.399994;20.629999
2015-08-28T16:08:42Z;50.506119;30.363959;184.000000;4.000000;353.200012;20.650000
2015-08-28T16:08:53Z;50.508070;30.363600;180.000000;4.000000;352.799988;18.959999
2015-08-28T16:09:04Z;50.509859;30.363254;179.000000;10.000000;353.000000;17.270000
2015-08-28T16:09:15Z;50.511707;30.362876;180.000000;10.000000;355.500000;21.760000
2015-08-28T16:09:26Z;50.513623;30.362503;174.000000;9.000000;352.799988;17.940001
2015-08-28T16:09:37Z;50.514986;30.362246;171.000000;9.000000;357.100006;9.570000
2015-08-28T16:09:48Z;50.515336;30.362221;172.000000;9.000000;0.000000;0.000000
2015-08-28T16:09:59Z;50.515338;30.362217;174.000000;9.000000;0.000000;0.000000
2015-08-28T16:10:10Z;50.515337;30.362217;174.000000;9.000000;0.000000;0.000000
2015-08-28T16:10:21Z;50.515337;30.362218;174.000000;9.000000;0.000000;0.000000
2015-08-28T16:10:32Z;50.515505;30.362204;175.000000;3.000000;353.799988;4.950000
2015-08-28T16:10:43Z;50.516475;30.361962;172.000000;3.000000;355.100006;15.020000
2015-08-28T16:10:54Z;50.518154;30.361926;169.000000;4.000000;0.800000;19.490000
2015-08-28T16:11:05Z;50.520118;30.361936;170.000000;4.000000;0.700000;20.059999
2015-08-28T16:11:16Z;50.522103;30.361955;170.000000;4.000000;359.399994;20.190001
2015-08-28T16:11:27Z;50.523888;30.362420;169.000000;4.000000;31.200001;16.850000
2015-08-28T16:11:38Z;50.525016;30.364335;170.000000;4.000000;49.700001;15.880000
2015-08-28T16:11:49Z;50.525992;30.366166;167.000000;10.000000;49.599998;13.280000
2015-08-28T16:12:00Z;50.526413;30.366945;167.000000;9.000000;48.799999;2.790000
2015-08-28T16:12:11Z;50.527030;30.366370;169.000000;9.000000;319.600006;11.030000
2015-08-28T16:12:22Z;50.528096;30.364918;166.000000;9.000000;318.500000;14.550000
2015-08-28T16:12:33Z;50.529240;30.363349;164.000000;9.000000;318.899994;15.960000
2015-08-28T16:12:44Z;50.529796;30.362697;168.000000;9.000000;318.399994;9.530000
2015-08-28T16:12:55Z;50.530733;30.361403;169.000000;9.000000;318.100006;14.850000
2015-08-28T16:13:06Z;50.531929;30.359754;168.000000;10.000000;319.000000;16.450001
2015-08-28T16:13:17Z;50.533235;30.358006;166.000000;9.000000;319.299988;17.750000
2015-08-28T16:13:28Z;50.534422;30.356482;157.000000;9.000000;319.899994;8.970000
2015-08-28T16:13:39Z;50.534825;30.355972;158.000000;3.000000;324.899994;7.770000
2015-08-28T16:13:50Z;50.535251;30.355421;158.000000;3.000000;318.700012;5.650000
2015-08-28T16:14:01Z;50.535823;30.354642;157.000000;3.000000;329.100006;6.210000
2015-08-28T16:14:12Z;50.536331;30.355202;155.000000;4.000000;49.500000;8.540000
